,,,stJohns,stJohns,halifax,halifax,moncton,moncton,saintJohn,saintJohn,saguenay,saguenay,quebec,quebec,troisRivieres,troisRivieres,montreal,montreal,sherbrooke,sherbrooke,ottawa,ottawa,kingston,kingston,belleville,belleville,peterborough,peterborough,oshawa,oshawa,toronto,toronto,hamilton,hamilton,stCatharinesNiagara,stCatharinesNiagara,kitchener,kitchener,brantford,brantford,guelph,guelph,london,london,windsor,windsor,barrie,barrie,greaterSudbury,greaterSudbury,thunderBay,thunderBay,winnipeg,winnipeg,regina,regina,saskatoon,saskatoon,lethbridge,lethbridge,calgary,calgary,edmonton,edmonton,vancouver,vancouver,victoria,victoria,kelowna,kelowna,abbotsfordMission,abbotsfordMission
education,aboveBachelors,,0.787,0.31,0.788,0.313,0.786,0.309,0.786,0.309,0.786,0.308,0.786,0.31,0.786,0.309,0.784,0.313,0.786,0.31,0.781,0.311,0.79,0.309,0.786,0.31,0.785,0.307,0.786,0.311,0.784,0.306,0.783,0.305,0.786,0.301,0.787,0.309,0.786,0.309,0.789,0.309,0.786,0.31,0.786,0.314,0.784,0.308,0.785,0.311,0.786,0.309,0.786,0.309,0.786,0.309,0.786,0.308,0.786,0.309,0.785,0.307,0.79,0.311,0.786,0.308,0.785,0.309,0.785,0.309,0.794,0.318
age,18to24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
age,25to44,,-0.387,-0.211,-0.386,-0.21,-0.386,-0.211,-0.386,-0.211,-0.386,-0.21,-0.387,-0.211,-0.387,-0.211,-0.388,-0.208,-0.387,-0.212,-0.38,-0.212,-0.39,-0.21,-0.386,-0.209,-0.387,-0.212,-0.386,-0.209,-0.386,-0.211,-0.388,-0.213,-0.386,-0.202,-0.386,-0.21,-0.386,-0.209,-0.386,-0.211,-0.386,-0.211,-0.386,-0.205,-0.385,-0.209,-0.387,-0.21,-0.384,-0.209,-0.386,-0.211,-0.386,-0.211,-0.386,-0.209,-0.385,-0.21,-0.384,-0.208,-0.385,-0.21,-0.386,-0.211,-0.387,-0.212,-0.386,-0.211,-0.386,-0.21
age,45to64,,-0.758,-0.439,-0.756,-0.438,-0.757,-0.439,-0.756,-0.439,-0.756,-0.437,-0.758,-0.439,-0.757,-0.44,-0.757,-0.439,-0.757,-0.44,-0.751,-0.44,-0.759,-0.439,-0.756,-0.438,-0.757,-0.44,-0.756,-0.438,-0.757,-0.44,-0.759,-0.444,-0.756,-0.43,-0.755,-0.437,-0.757,-0.438,-0.757,-0.439,-0.757,-0.439,-0.756,-0.433,-0.755,-0.438,-0.757,-0.438,-0.755,-0.438,-0.757,-0.439,-0.757,-0.439,-0.756,-0.437,-0.756,-0.439,-0.752,-0.434,-0.754,-0.438,-0.757,-0.437,-0.758,-0.44,-0.756,-0.439,-0.761,-0.445
age,over65,,-1.349,-0.827,-1.348,-0.826,-1.347,-0.826,-1.347,-0.826,-1.346,-0.824,-1.349,-0.826,-1.348,-0.827,-1.348,-0.827,-1.348,-0.826,-1.343,-0.827,-1.352,-0.825,-1.347,-0.825,-1.347,-0.826,-1.347,-0.827,-1.346,-0.826,-1.349,-0.828,-1.347,-0.82,-1.346,-0.824,-1.347,-0.823,-1.348,-0.826,-1.347,-0.826,-1.347,-0.819,-1.347,-0.826,-1.348,-0.825,-1.345,-0.824,-1.346,-0.825,-1.347,-0.826,-1.347,-0.824,-1.347,-0.826,-1.341,-0.819,-1.344,-0.824,-1.347,-0.826,-1.349,-0.827,-1.347,-0.826,-1.352,-0.831
job,management,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
job,professional,,-0.005,-0.163,-0.005,-0.163,-0.006,-0.163,-0.005,-0.163,-0.005,-0.162,-0.005,-0.163,-0.006,-0.163,-0.007,-0.16,-0.005,-0.162,-0.015,-0.161,-0.007,-0.163,-0.006,-0.162,-0.006,-0.164,-0.006,-0.163,-0.008,-0.165,-0.009,-0.167,-0.006,-0.165,-0.007,-0.163,-0.009,-0.173,-0.008,-0.163,-0.006,-0.162,-0.006,-0.163,-0.006,-0.163,-0.005,-0.164,-0.004,-0.161,-0.006,-0.163,-0.006,-0.163,-0.006,-0.163,-0.005,-0.163,-0.008,-0.165,-0.004,-0.162,-0.006,-0.163,-0.006,-0.162,-0.005,-0.162,0.032,-0.107
job,technical,,-0.138,-0.184,-0.138,-0.184,-0.139,-0.184,-0.138,-0.184,-0.138,-0.184,-0.138,-0.184,-0.139,-0.185,-0.139,-0.183,-0.138,-0.184,-0.142,-0.183,-0.137,-0.185,-0.138,-0.184,-0.139,-0.186,-0.138,-0.183,-0.139,-0.185,-0.141,-0.189,-0.139,-0.192,-0.14,-0.185,-0.141,-0.192,-0.141,-0.184,-0.138,-0.184,-0.138,-0.18,-0.14,-0.185,-0.138,-0.186,-0.137,-0.184,-0.139,-0.185,-0.138,-0.185,-0.139,-0.185,-0.137,-0.184,-0.141,-0.187,-0.139,-0.185,-0.138,-0.186,-0.138,-0.183,-0.139,-0.186,-0.099,-0.126
job,intermediate,,-0.047,0.064,-0.048,0.064,-0.049,0.064,-0.048,0.064,-0.048,0.064,-0.048,0.064,-0.049,0.063,-0.048,0.063,-0.048,0.064,-0.051,0.064,-0.047,0.063,-0.047,0.067,-0.048,0.063,-0.048,0.064,-0.047,0.065,-0.05,0.061,-0.048,0.045,-0.049,0.063,-0.051,0.054,-0.049,0.064,-0.048,0.065,-0.048,0.067,-0.05,0.063,-0.048,0.063,-0.046,0.065,-0.048,0.064,-0.048,0.064,-0.048,0.062,-0.049,0.063,-0.049,0.063,-0.051,0.062,-0.048,0.062,-0.048,0.065,-0.047,0.065,-0.008,0.121
job,labour,,0.022,0.132,0.021,0.133,0.02,0.132,0.02,0.132,0.02,0.132,0.021,0.132,0.02,0.132,0.019,0.135,0.02,0.131,0.021,0.132,0.021,0.132,0.02,0.131,0.02,0.13,0.02,0.133,0.021,0.133,0.018,0.128,0.02,0.14,0.02,0.132,0.017,0.121,0.024,0.132,0.02,0.132,0.021,0.138,0.018,0.13,0.02,0.133,0.02,0.132,0.021,0.132,0.02,0.132,0.02,0.132,0.018,0.131,0.018,0.129,0.015,0.129,0.02,0.135,0.021,0.133,0.021,0.134,0.066,0.199
job,noWork,,-0.188,-0.075,-0.188,-0.076,-0.188,-0.075,-0.188,-0.075,-0.188,-0.074,-0.188,-0.075,-0.189,-0.076,-0.189,-0.074,-0.188,-0.075,-0.191,-0.075,-0.185,-0.076,-0.188,-0.074,-0.188,-0.074,-0.188,-0.074,-0.19,-0.077,-0.19,-0.08,-0.188,-0.076,-0.189,-0.076,-0.191,-0.086,-0.189,-0.075,-0.188,-0.075,-0.188,-0.072,-0.188,-0.075,-0.188,-0.075,-0.186,-0.074,-0.189,-0.076,-0.188,-0.075,-0.188,-0.076,-0.188,-0.075,-0.192,-0.078,-0.189,-0.076,-0.188,-0.074,-0.188,-0.074,-0.187,-0.073,-0.147,-0.014
grossIncome,lt20k,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grossIncome,20to39k,,0.027,0.026,0.027,0.025,0.028,0.027,0.028,0.027,0.028,0.026,0.029,0.027,0.028,0.027,0.028,0.025,0.028,0.026,0.03,0.026,0.028,0.026,0.028,0.029,0.027,0.025,0.028,0.027,0.027,0.026,0.031,0.032,0.028,0.032,0.029,0.027,0.028,0.027,0.027,0.027,0.028,0.027,0.028,0.025,0.027,0.026,0.027,0.027,0.029,0.028,0.028,0.026,0.028,0.026,0.028,0.027,0.027,0.026,0.028,0.026,0.029,0.027,0.028,0.026,0.027,0.026,0.027,0.027,0.029,0.031
grossIncome,40to59k,,-0.063,-0.051,-0.064,-0.053,-0.063,-0.051,-0.063,-0.051,-0.063,-0.05,-0.061,-0.05,-0.063,-0.051,-0.062,-0.053,-0.063,-0.051,-0.062,-0.051,-0.063,-0.051,-0.063,-0.051,-0.063,-0.05,-0.063,-0.052,-0.064,-0.051,-0.062,-0.049,-0.063,-0.045,-0.063,-0.052,-0.063,-0.053,-0.063,-0.051,-0.063,-0.051,-0.063,-0.053,-0.063,-0.051,-0.063,-0.052,-0.061,-0.049,-0.063,-0.051,-0.063,-0.051,-0.063,-0.051,-0.063,-0.051,-0.062,-0.051,-0.065,-0.051,-0.063,-0.049,-0.063,-0.051,-0.062,-0.049,-0.067,-0.058
grossIncome,60to79k,,-0.101,-0.007,-0.101,-0.01,-0.1,-0.007,-0.1,-0.007,-0.1,-0.007,-0.099,-0.006,-0.1,-0.006,-0.098,-0.01,-0.101,-0.008,-0.1,-0.007,-0.1,-0.007,-0.1,-0.006,-0.1,-0.007,-0.1,-0.006,-0.102,-0.007,-0.099,-0.005,-0.1,0.002,-0.1,-0.007,-0.1,-0.007,-0.1,-0.007,-0.1,-0.007,-0.101,-0.012,-0.099,-0.007,-0.101,-0.006,-0.099,-0.006,-0.1,-0.007,-0.1,-0.007,-0.1,-0.007,-0.101,-0.007,-0.1,-0.008,-0.102,-0.008,-0.1,-0.01,-0.1,-0.007,-0.101,-0.008,-0.096,0
grossIncome,80to99k,,-0.135,0.02,-0.135,0.017,-0.134,0.02,-0.134,0.02,-0.133,0.022,-0.133,0.021,-0.134,0.02,-0.132,0.017,-0.135,0.019,-0.136,0.02,-0.136,0.02,-0.134,0.021,-0.133,0.022,-0.134,0.022,-0.137,0.018,-0.133,0.021,-0.134,0.026,-0.134,0.02,-0.133,0.021,-0.134,0.02,-0.135,0.019,-0.134,0.017,-0.135,0.019,-0.134,0.02,-0.134,0.02,-0.134,0.02,-0.134,0.02,-0.134,0.021,-0.134,0.02,-0.136,0.018,-0.137,0.019,-0.134,0.021,-0.134,0.02,-0.133,0.023,-0.134,0.024
grossIncome,100to119k,,-0.062,0.015,-0.063,0.01,-0.061,0.015,-0.061,0.015,-0.061,0.015,-0.059,0.016,-0.061,0.016,-0.059,0.01,-0.062,0.013,-0.063,0.016,-0.059,0.015,-0.061,0.015,-0.061,0.015,-0.061,0.02,-0.065,0.012,-0.058,0.02,-0.061,0.022,-0.061,0.015,-0.061,0.015,-0.057,0.015,-0.061,0.016,-0.061,0.01,-0.06,0.015,-0.061,0.015,-0.061,0.015,-0.062,0.015,-0.061,0.015,-0.061,0.015,-0.063,0.014,-0.066,0.01,-0.062,0.014,-0.062,0.02,-0.061,0.015,-0.06,0.018,-0.053,0.028
grossIncome,mt120k,,-0.144,-0.012,-0.146,-0.016,-0.144,-0.012,-0.145,-0.012,-0.145,-0.013,-0.144,-0.012,-0.145,-0.013,-0.143,-0.016,-0.145,-0.013,-0.144,-0.013,-0.146,-0.012,-0.144,-0.011,-0.144,-0.011,-0.145,-0.012,-0.149,-0.015,-0.145,-0.012,-0.145,-0.007,-0.144,-0.012,-0.146,-0.015,-0.146,-0.012,-0.145,-0.013,-0.145,-0.019,-0.144,-0.012,-0.144,-0.013,-0.144,-0.012,-0.145,-0.013,-0.145,-0.013,-0.145,-0.012,-0.145,-0.012,-0.156,-0.024,-0.149,-0.014,-0.144,-0.015,-0.144,-0.012,-0.143,-0.009,-0.139,-0.001
maritalStatus,married,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maritalStatus,commonLaw,,0.31,0.126,0.31,0.127,0.31,0.126,0.31,0.126,0.31,0.127,0.312,0.126,0.31,0.126,0.31,0.126,0.31,0.126,0.306,0.127,0.309,0.126,0.31,0.126,0.311,0.129,0.31,0.126,0.31,0.125,0.311,0.128,0.31,0.133,0.31,0.125,0.31,0.126,0.31,0.126,0.31,0.125,0.31,0.126,0.311,0.126,0.309,0.128,0.311,0.127,0.31,0.126,0.31,0.126,0.31,0.126,0.311,0.126,0.312,0.128,0.311,0.126,0.31,0.123,0.31,0.126,0.311,0.128,0.315,0.134
maritalStatus,widowed,,-0.067,-0.138,-0.066,-0.138,-0.067,-0.138,-0.066,-0.138,-0.067,-0.14,-0.066,-0.138,-0.066,-0.138,-0.066,-0.138,-0.067,-0.139,-0.063,-0.139,-0.064,-0.139,-0.066,-0.137,-0.067,-0.14,-0.066,-0.137,-0.07,-0.141,-0.071,-0.145,-0.067,-0.145,-0.068,-0.139,-0.066,-0.137,-0.069,-0.138,-0.066,-0.138,-0.066,-0.137,-0.068,-0.139,-0.067,-0.137,-0.065,-0.137,-0.067,-0.138,-0.066,-0.138,-0.066,-0.137,-0.065,-0.138,-0.065,-0.136,-0.065,-0.137,-0.066,-0.139,-0.066,-0.137,-0.066,-0.136,-0.064,-0.134
maritalStatus,separated,,0.276,0.187,0.276,0.187,0.276,0.187,0.276,0.187,0.276,0.187,0.276,0.187,0.277,0.188,0.276,0.189,0.276,0.186,0.273,0.189,0.276,0.187,0.277,0.191,0.277,0.188,0.276,0.189,0.273,0.185,0.276,0.185,0.276,0.185,0.276,0.187,0.277,0.189,0.277,0.187,0.276,0.187,0.276,0.187,0.276,0.187,0.276,0.186,0.274,0.186,0.275,0.187,0.276,0.187,0.276,0.189,0.278,0.188,0.282,0.193,0.279,0.187,0.277,0.185,0.276,0.187,0.275,0.186,0.286,0.203
maritalStatus,divorced,,0.409,0.505,0.409,0.504,0.409,0.505,0.408,0.505,0.408,0.503,0.412,0.506,0.409,0.504,0.408,0.506,0.409,0.504,0.404,0.506,0.41,0.504,0.408,0.503,0.408,0.503,0.409,0.506,0.409,0.505,0.409,0.503,0.409,0.504,0.41,0.505,0.409,0.505,0.408,0.505,0.409,0.505,0.409,0.507,0.41,0.505,0.409,0.504,0.409,0.505,0.409,0.505,0.409,0.504,0.409,0.505,0.41,0.505,0.41,0.506,0.408,0.504,0.409,0.506,0.408,0.504,0.41,0.505,0.418,0.517
maritalStatus,singleNeverMarried,,0.359,0.183,0.359,0.183,0.359,0.183,0.359,0.183,0.359,0.184,0.359,0.183,0.359,0.183,0.358,0.185,0.359,0.183,0.355,0.184,0.362,0.183,0.359,0.184,0.359,0.184,0.359,0.183,0.356,0.179,0.358,0.181,0.359,0.19,0.359,0.184,0.359,0.184,0.359,0.183,0.359,0.183,0.359,0.186,0.359,0.183,0.359,0.183,0.358,0.183,0.36,0.183,0.359,0.184,0.359,0.184,0.36,0.184,0.363,0.187,0.36,0.184,0.36,0.181,0.359,0.183,0.361,0.186,0.365,0.191
